Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Founder / Team,Community & Other
Jul 20 2025,BONK,0,96838503649634.80,75738503649634.80,21100000000000.00,17838503649634.80,57900000000000.00
Jul 19 2025,BONK,0,96819343065693.20,75719343065693.19,21100000000000.00,17819343065693.19,57900000000000.00
Jul 17 2025,BONK,0,96781021897809.98,75681021897809.98,21100000000000.00,17781021897809.98,57900000000000.00
Jul 16 2025,BONK,0,96761861313868.38,75661861313868.38,21100000000000.00,17761861313868.38,57900000000000.00
Jul 15 2025,BONK,0,96742700729926.77,75642700729926.77,21100000000000.00,17742700729926.77,57900000000000.00
Jul 13 2025,BONK,0,96704379562043.56,75604379562043.56,21100000000000.00,17704379562043.56,57900000000000.00
Jul 12 2025,BONK,0,96685218978101.95,75585218978101.95,21100000000000.00,17685218978101.95,57900000000000.00
Jul 10 2025,BONK,0,96646897810218.77,75546897810218.75,21100000000000.00,17646897810218.74,57900000000000.00
Jul 09 2025,BONK,0,96627737226277.14,75527737226277.14,21100000000000.00,17627737226277.14,57900000000000.00
Jul 08 2025,BONK,0,96608576642335.52,75508576642335.53,21100000000000.00,17608576642335.53,57900000000000.00
Jul 06 2025,BONK,0,96570255474452.31,75470255474452.31,21100000000000.00,17570255474452.32,57900000000000.00
Jul 05 2025,BONK,0,96551094890510.72,75451094890510.72,21100000000000.00,17551094890510.72,57900000000000.00
Jul 03 2025,BONK,0,96512773722627.50,75412773722627.50,21100000000000.00,17512773722627.51,57900000000000.00
Jul 02 2025,BONK,0,96493613138685.90,75393613138685.90,21100000000000.00,17493613138685.90,57900000000000.00
Jun 30 2025,BONK,0,96455291970802.69,75355291970802.69,21100000000000.00,17455291970802.69,57900000000000.00
Jun 29 2025,BONK,0,96436131386861.08,75336131386861.08,21100000000000.00,17436131386861.08,57900000000000.00
Jun 28 2025,BONK,0,96416970802919.48,75316970802919.47,21100000000000.00,17416970802919.48,57900000000000.00
Jun 26 2025,BONK,0,96378649635036.28,75278649635036.27,21100000000000.00,17378649635036.27,57900000000000.00
Jun 25 2025,BONK,0,96359489051094.66,75259489051094.66,21100000000000.00,17359489051094.66,57900000000000.00
Jun 23 2025,BONK,0,96321167883211.44,75221167883211.45,21100000000000.00,17321167883211.45,57900000000000.00
Jun 22 2025,BONK,0,96302007299269.84,75202007299269.84,21100000000000.00,17302007299269.85,57900000000000.00
Jun 21 2025,BONK,0,96282846715328.23,75182846715328.23,21100000000000.00,17282846715328.24,57900000000000.00
Jun 19 2025,BONK,0,96244525547445.05,75144525547445.03,21100000000000.00,17244525547445.03,57900000000000.00
Jun 18 2025,BONK,0,96225364963503.42,75125364963503.42,21100000000000.00,17225364963503.42,57900000000000.00
Jun 16 2025,BONK,0,96187043795620.22,75087043795620.22,21100000000000.00,17187043795620.21,57900000000000.00
Jun 15 2025,BONK,0,96167883211678.60,75067883211678.61,21100000000000.00,17167883211678.61,57900000000000.00
Jun 13 2025,BONK,0,96129562043795.40,75029562043795.39,21100000000000.00,17129562043795.40,57900000000000.00
Jun 12 2025,BONK,0,96110401459853.78,75010401459853.78,21100000000000.00,17110401459853.79,57900000000000.00
Jun 11 2025,BONK,0,96091240875912.20,74991240875912.19,21100000000000.00,17091240875912.19,57900000000000.00
Jun 09 2025,BONK,0,96052919708028.95,74952919708028.97,21100000000000.00,17052919708028.97,57900000000000.00
Jun 08 2025,BONK,0,96033759124087.38,74933759124087.38,21100000000000.00,17033759124087.37,57900000000000.00
Jun 06 2025,BONK,0,95995437956204.16,74895437956204.16,21100000000000.00,16995437956204.16,57900000000000.00
Jun 05 2025,BONK,0,95976277372262.56,74876277372262.55,21100000000000.00,16976277372262.55,57900000000000.00
Jun 04 2025,BONK,0,95957116788320.94,74857116788320.94,21100000000000.00,16957116788320.95,57900000000000.00
Jun 02 2025,BONK,0,95918795620437.72,74818795620437.73,21100000000000.00,16918795620437.74,57900000000000.00
Jun 01 2025,BONK,0,95899635036496.12,74799635036496.12,21100000000000.00,16899635036496.13,57900000000000.00
May 30 2025,BONK,0,95861313868612.92,74761313868612.92,21100000000000.00,16861313868612.92,57900000000000.00
May 29 2025,BONK,0,95842153284671.31,74742153284671.31,21100000000000.00,16842153284671.31,57900000000000.00
May 27 2025,BONK,0,95803832116788.10,74703832116788.10,21100000000000.00,16803832116788.10,57900000000000.00
May 26 2025,BONK,0,95784671532846.50,74684671532846.50,21100000000000.00,16784671532846.50,57900000000000.00
May 25 2025,BONK,0,95765510948904.88,74665510948904.89,21100000000000.00,16765510948904.89,57900000000000.00
May 23 2025,BONK,0,95727189781021.69,74627189781021.69,21100000000000.00,16727189781021.68,57900000000000.00
May 22 2025,BONK,0,95708029197080.08,74608029197080.08,21100000000000.00,16708029197080.08,57900000000000.00
May 20 2025,BONK,0,95669708029196.86,74569708029196.86,21100000000000.00,16669708029196.86,57900000000000.00
May 19 2025,BONK,0,95650547445255.23,74550547445255.25,21100000000000.00,16650547445255.26,57900000000000.00
May 18 2025,BONK,0,95631386861313.66,74531386861313.66,21100000000000.00,16631386861313.65,57900000000000.00
May 16 2025,BONK,0,95593065693430.44,74493065693430.44,21100000000000.00,16593065693430.44,57900000000000.00
May 15 2025,BONK,0,95573905109488.84,74473905109488.84,21100000000000.00,16573905109488.84,57900000000000.00
May 13 2025,BONK,0,95535583941605.62,74435583941605.62,21100000000000.00,16535583941605.63,57900000000000.00
May 12 2025,BONK,0,95516423357664.02,74416423357664.02,21100000000000.00,16516423357664.02,57900000000000.00
May 11 2025,BONK,0,95497262773722.40,74397262773722.40,21100000000000.00,16497262773722.42,57900000000000.00
May 09 2025,BONK,0,95458941605839.20,74358941605839.20,21100000000000.00,16458941605839.20,57900000000000.00
May 08 2025,BONK,0,95439781021897.60,74339781021897.60,21100000000000.00,16439781021897.60,57900000000000.00
May 06 2025,BONK,0,95401459854014.40,74301459854014.39,21100000000000.00,16401459854014.39,57900000000000.00
May 05 2025,BONK,0,95382299270072.78,74282299270072.78,21100000000000.00,16382299270072.78,57900000000000.00
May 03 2025,BONK,0,95343978102189.56,74243978102189.56,21100000000000.00,16343978102189.57,57900000000000.00
May 02 2025,BONK,0,95324817518247.95,74224817518247.97,21100000000000.00,16324817518247.97,57900000000000.00
May 01 2025,BONK,0,95305656934306.36,74205656934306.36,21100000000000.00,16305656934306.36,57900000000000.00
Apr 29 2025,BONK,0,95267335766423.16,74167335766423.16,21100000000000.00,16267335766423.15,57900000000000.00
Apr 28 2025,BONK,0,95248175182481.56,74148175182481.55,21100000000000.00,16248175182481.54,57900000000000.00
Apr 26 2025,BONK,0,95209854014598.31,74109854014598.33,21100000000000.00,16209854014598.33,57900000000000.00
Apr 25 2025,BONK,0,95190693430656.72,74090693430656.72,21100000000000.00,16190693430656.73,57900000000000.00
Apr 24 2025,BONK,0,95171532846715.12,74071532846715.12,21100000000000.00,16171532846715.12,57900000000000.00
Apr 22 2025,BONK,0,95133211678831.90,74033211678831.90,21100000000000.00,16133211678831.91,57900000000000.00
Apr 21 2025,BONK,0,95114051094890.31,74014051094890.31,21100000000000.00,16114051094890.31,57900000000000.00
Apr 19 2025,BONK,0,95075729927007.10,73975729927007.10,21100000000000.00,16075729927007.10,57900000000000.00
Apr 18 2025,BONK,0,95056569343065.48,73956569343065.48,21100000000000.00,16056569343065.49,57900000000000.00
Apr 16 2025,BONK,0,95018248175182.28,73918248175182.28,21100000000000.00,16018248175182.28,57900000000000.00
Apr 15 2025,BONK,0,94999087591240.69,73899087591240.67,21100000000000.00,15999087591240.67,57900000000000.00
Apr 14 2025,BONK,0,94979927007299.06,73879927007299.06,21100000000000.00,15979927007299.07,57900000000000.00
Apr 12 2025,BONK,0,94941605839415.86,73841605839415.86,21100000000000.00,15941605839415.86,57900000000000.00
