Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Sep 04 2025,COW,0,966711930.36,451136685.36,515575245.00,142406992.70,90149592.08,42493322.90,8000000.00,168086777.68
Sep 02 2025,COW,0,966152467.01,450577222.01,515575245.00,142189743.28,90012064.10,42428497.08,8000000.00,167946917.54
Aug 31 2025,COW,0,965593003.65,450017758.65,515575245.00,141972493.87,89874536.12,42363671.27,8000000.00,167807057.40
Aug 29 2025,COW,0,965033540.30,449458295.30,515575245.00,141755244.45,89737008.14,42298845.45,8000000.00,167667197.26
Aug 28 2025,COW,0,964753808.62,449178563.62,515575245.00,141646619.74,89668244.15,42266432.54,8000000.00,167597267.19
Aug 26 2025,COW,0,964194345.26,448619100.26,515575245.00,141429370.33,89530716.16,42201606.73,8000000.00,167457407.05
Aug 24 2025,COW,0,963634881.91,448059636.91,515575245.00,141212120.91,89393188.18,42136780.91,8000000.00,167317546.91
Aug 22 2025,COW,0,963075418.55,447500173.55,515575245.00,140994871.49,89255660.20,42071955.09,8000000.00,167177686.77
Aug 20 2025,COW,0,962515955.20,446940710.20,515575245.00,140777622.08,89118132.22,42007129.28,8000000.00,167037826.63
Aug 19 2025,COW,0,962236223.52,446660978.52,515575245.00,140668997.37,89049368.23,41974716.37,8000000.00,166967896.56
Aug 17 2025,COW,0,961676760.17,446101515.17,515575245.00,140451747.95,88911840.25,41909890.55,8000000.00,166828036.42
Aug 15 2025,COW,0,961117296.81,445542051.81,515575245.00,140234498.53,88774312.26,41845064.73,8000000.00,166688176.28
Aug 13 2025,COW,0,960557833.46,444982588.46,515575245.00,140017249.12,88636784.28,41780238.92,8000000.00,166548316.14
Aug 11 2025,COW,0,959998370.10,444423125.10,515575245.00,139799999.70,88499256.30,41715413.10,8000000.00,166408456.00
Aug 10 2025,COW,0,959718638.42,444143393.42,515575245.00,139691374.99,88430492.31,41683000.19,8000000.00,166338525.93
Aug 08 2025,COW,0,959159175.07,443583930.07,515575245.00,139474125.57,88292964.33,41618174.37,8000000.00,166198665.79
Aug 06 2025,COW,0,958599711.71,443024466.71,515575245.00,139256876.16,88155436.35,41553348.56,8000000.00,166058805.65
Aug 04 2025,COW,0,958040248.36,442465003.36,515575245.00,139039626.74,88017908.36,41488522.74,8000000.00,165918945.51
Aug 02 2025,COW,0,957480785.00,441905540.00,515575245.00,138822377.32,87880380.38,41423696.92,8000000.00,165779085.37
Aug 01 2025,COW,0,957201053.32,441625808.32,515575245.00,138713752.62,87811616.39,41391284.02,8000000.00,165709155.30
Jul 30 2025,COW,0,956641589.97,441066344.97,515575245.00,138496503.20,87674088.41,41326458.20,8000000.00,165569295.16
Jul 28 2025,COW,0,956082126.61,440506881.61,515575245.00,138279253.78,87536560.43,41261632.38,8000000.00,165429435.02
Jul 26 2025,COW,0,955522663.26,439947418.26,515575245.00,138062004.37,87399032.45,41196806.57,8000000.00,165289574.88
Jul 24 2025,COW,0,954963199.90,439387954.90,515575245.00,137844754.95,87261504.46,41131980.75,8000000.00,165149714.74
Jul 23 2025,COW,0,954683468.23,439108223.23,515575245.00,137736130.24,87192740.47,41099567.84,8000000.00,165079784.67
Jul 21 2025,COW,0,954124004.87,438548759.87,515575245.00,137518880.82,87055212.49,41034742.02,8000000.00,164939924.53
Jul 19 2025,COW,0,953564541.51,437989296.51,515575245.00,137301631.41,86917684.51,40969916.21,8000000.00,164800064.39
Jul 17 2025,COW,0,953005078.16,437429833.16,515575245.00,137084381.99,86780156.53,40905090.39,8000000.00,164660204.25
Jul 15 2025,COW,0,952445614.80,436870369.80,515575245.00,136867132.57,86642628.55,40840264.57,8000000.00,164520344.11
Jul 14 2025,COW,0,952165883.13,436590638.13,515575245.00,136758507.87,86573864.55,40807851.67,8000000.00,164450414.04
Jul 12 2025,COW,0,951606419.77,436031174.77,515575245.00,136541258.45,86436336.57,40743025.85,8000000.00,164310553.90
Jul 10 2025,COW,0,951046956.42,435471711.42,515575245.00,136324009.03,86298808.59,40678200.03,8000000.00,164170693.76
Jul 08 2025,COW,0,950487493.06,434912248.06,515575245.00,136106759.61,86161280.61,40613374.21,8000000.00,164030833.62
Jul 06 2025,COW,0,949928029.71,434352784.71,515575245.00,135889510.20,86023752.63,40548548.40,8000000.00,163890973.48
Jul 05 2025,COW,0,949648298.03,434073053.03,515575245.00,135780885.49,85954988.64,40516135.49,8000000.00,163821043.41
Jul 03 2025,COW,0,949088834.67,433513589.67,515575245.00,135563636.07,85817460.65,40451309.67,8000000.00,163681183.27
Jul 01 2025,COW,0,948529371.32,432954126.32,515575245.00,135346386.66,85679932.67,40386483.86,8000000.00,163541323.13
Jun 29 2025,COW,0,947969907.96,432394662.96,515575245.00,135129137.24,85542404.69,40321658.04,8000000.00,163401462.99
Jun 27 2025,COW,0,947410444.61,431835199.61,515575245.00,134911887.82,85404876.71,40256832.22,8000000.00,163261602.85
Jun 26 2025,COW,0,947130712.93,431555467.93,515575245.00,134803263.11,85336112.72,40224419.31,8000000.00,163191672.78
Jun 24 2025,COW,0,946571249.57,430996004.57,515575245.00,134586013.70,85198584.74,40159593.50,8000000.00,163051812.64
Jun 22 2025,COW,0,946011786.22,430436541.22,515575245.00,134368764.28,85061056.75,40094767.68,8000000.00,162911952.50
Jun 20 2025,COW,0,945452322.86,429877077.86,515575245.00,134151514.86,84923528.77,40029941.86,8000000.00,162772092.36
Jun 18 2025,COW,0,944892859.51,429317614.51,515575245.00,133934265.45,84786000.79,39965116.05,8000000.00,162632232.22
Jun 17 2025,COW,0,944613127.83,429037882.83,515575245.00,133825640.74,84717236.80,39932703.14,8000000.00,162562302.15
Jun 15 2025,COW,0,944053664.48,428478419.48,515575245.00,133608391.32,84579708.82,39867877.32,8000000.00,162422442.01
Jun 13 2025,COW,0,943494201.12,427918956.12,515575245.00,133391141.90,84442180.84,39803051.50,8000000.00,162282581.87
Jun 11 2025,COW,0,942934737.77,427359492.77,515575245.00,133173892.49,84304652.85,39738225.69,8000000.00,162142721.73
Jun 09 2025,COW,0,942375274.41,426800029.41,515575245.00,132956643.07,84167124.87,39673399.87,8000000.00,162002861.59
Jun 07 2025,COW,0,941815811.05,426240566.05,515575245.00,132739393.65,84029596.89,39608574.05,8000000.00,161863001.45
Jun 06 2025,COW,0,941536079.38,425960834.38,515575245.00,132630768.95,83960832.90,39576161.15,8000000.00,161793071.38
