Date,Symbol,Price,Unlocked Supply,Founder / Team,Public Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2019-11-12,ALGO,0,3302967742,2000000000,212768817,2000000000,0.0,0.0,no unlock,0.0,0.0,60.55160559300431,0.17610457873597077
2019-11-13,ALGO,0,3308774194,2000000000,214381720,2000000000,0.0,0.0,no unlock,0.0,0.0,60.445345700130304,0.1757949956993555
2019-11-14,ALGO,0,3314580645,2000000000,215994624,2000000000,0.0,0.0,no unlock,0.0,0.0,60.33945811567364,0.17548646899293363
2019-11-15,ALGO,0,3320387097,2000000000,217607527,2000000000,0.0,0.0,no unlock,0.0,0.0,60.23394085005987,0.1751790836273347
2019-11-16,ALGO,0,3326193548,2000000000,219220430,2000000000,0.0,0.0,no unlock,0.0,0.0,60.128792000170165,0.1748727130413855
2019-11-17,ALGO,0,3332000000,2000000000,220833333,2000000000,0.0,0.0,no unlock,0.0,0.0,60.024009603841534,0.174567472283486
2019-11-18,ALGO,0,3337806452,2000000000,222446237,2000000000,0.0,0.0,no unlock,0.0,0.0,59.919591766670834,0.17426326530612246
2019-11-19,ALGO,0,3347000000,2000000000,225000000,2000000000,0.0,0.0,no unlock,0.0,0.0,59.75500448162534,0.27543682152364657
2019-11-20,ALGO,0,3349541667,2000000000,225694444,2000000000,0.0,0.0,no unlock,0.0,0.0,59.709661763703025,0.07593866148789961
2019-11-21,ALGO,0,3355641667,2000000000,227361111,2000000000,0.0,0.0,no unlock,0.0,0.0,59.60111950177427,0.18211446837929424
2019-11-22,ALGO,0,3361741667,2000000000,229027778,2000000000,0.0,0.0,no unlock,0.0,0.0,59.492971147446596,0.1817834144804115
2019-11-23,ALGO,0,3367841667,2000000000,230694444,2000000000,0.0,0.0,no unlock,0.0,0.0,59.38521456032571,0.1814535619997121
2019-11-24,ALGO,0,3373941667,2000000000,232361111,2000000000,0.0,0.0,no unlock,0.0,0.0,59.27784761549643,0.1811249044089934
2019-11-25,ALGO,0,3380041667,2000000000,234027778,2000000000,0.0,0.0,no unlock,0.0,0.0,59.17086820338301,0.1807974352272641
2019-11-26,ALGO,0,3386141667,2000000000,235694444,2000000000,0.0,0.0,no unlock,0.0,0.0,59.06427422961096,0.1804711480203182
2019-11-27,ALGO,0,3392241667,2000000000,237361111,2000000000,0.0,0.0,no unlock,0.0,0.0,58.95806361487039,0.18014603640031343
2019-11-28,ALGO,0,3398341667,2000000000,239027778,2000000000,0.0,0.0,no unlock,0.0,0.0,58.852234294780814,0.1798220940253547
2019-11-29,ALGO,0,3404441667,2000000000,240694444,2000000000,0.0,0.0,no unlock,0.0,0.0,58.74678421975735,0.17949931459908147
2019-11-30,ALGO,0,3410541667,2000000000,242361111,2000000000,0.0,0.0,no unlock,0.0,0.0,58.64171135487845,0.17917769187025992
2019-12-01,ALGO,0,3416641667,2000000000,244027778,2000000000,0.0,0.0,no unlock,0.0,0.0,58.53701367975502,0.1788572196323793
2019-12-02,ALGO,0,3422741667,2000000000,245694444,2000000000,0.0,0.0,no unlock,0.0,0.0,58.43268918840086,0.17853789172325282
2019-12-03,ALGO,0,3428841667,2000000000,247361111,2000000000,0.0,0.0,no unlock,0.0,0.0,58.32873588910456,0.1782197020246226
2019-12-04,ALGO,0,3434941667,2000000000,249027778,2000000000,0.0,0.0,no unlock,0.0,0.0,58.22515180430282,0.1779026444617689
2019-12-05,ALGO,0,3441041667,2000000000,250694444,2000000000,0.0,0.0,no unlock,0.0,0.0,58.12193497045498,0.17758671300312362
2019-12-06,ALGO,0,3447141667,2000000000,252361111,2000000000,0.0,0.0,no unlock,0.0,0.0,58.01908343791894,0.17727190165988768
2019-12-07,ALGO,0,3453241667,2000000000,254027778,2000000000,0.0,0.0,no unlock,0.0,0.0,57.916595270828466,0.17695820448565278
2019-12-08,ALGO,0,3459341667,2000000000,255694444,2000000000,0.0,0.0,no unlock,0.0,0.0,57.81446854697165,0.17664561557602682
2019-12-09,ALGO,0,3465441667,2000000000,257361111,2000000000,0.0,0.0,no unlock,0.0,0.0,57.71270135767084,0.17633412906826357
2019-12-10,ALGO,0,3471541667,2000000000,259027778,2000000000,0.0,0.0,no unlock,0.0,0.0,57.61129180766362,0.17602373914089606
2019-12-11,ALGO,0,3477641667,2000000000,260694444,2000000000,0.0,0.0,no unlock,0.0,0.0,57.51023801498523,0.17571444001337402
2019-12-12,ALGO,0,3483741667,2000000000,262361111,2000000000,0.0,0.0,no unlock,0.0,0.0,57.40953811085212,0.17540622594570493
2019-12-13,ALGO,0,3489841667,2000000000,264027778,2000000000,0.0,0.0,no unlock,0.0,0.0,57.30919023954676,0.17509909123809897
2019-12-14,ALGO,0,3495941667,2000000000,265694444,2000000000,0.0,0.0,no unlock,0.0,0.0,57.209192558303634,0.17479303023061762
2019-12-15,ALGO,0,3502041667,2000000000,267361111,2000000000,0.0,0.0,no unlock,0.0,0.0,57.10954323719643,0.17448803730282608
2019-12-16,ALGO,0,3508141667,2000000000,269027778,2000000000,0.0,0.0,no unlock,0.0,0.0,57.010240459026484,0.17418410687344915
2019-12-17,ALGO,0,3514241667,2000000000,270694444,2000000000,0.0,0.0,no unlock,0.0,0.0,56.911282419212185,0.17388123340003075
2019-12-18,ALGO,0,3520341667,2000000000,272361111,2000000000,0.0,0.0,no unlock,0.0,0.0,56.81266732567979,0.17357941137859714
2019-12-19,ALGO,0,3530000000,2000000000,275000000,2000000000,0.0,0.0,no unlock,0.0,0.0,56.657223796033996,0.2743578298248174
2019-12-20,ALGO,0,3532500000,2000000000,275672043,2000000000,0.0,0.0,no unlock,0.0,0.0,56.61712668082095,0.0708215297450425
2019-12-21,ALGO,0,3538500000,2000000000,277284946,2000000000,0.0,0.0,no unlock,0.0,0.0,56.52112477038293,0.16985138004246286
2019-12-22,ALGO,0,3544500000,2000000000,278897849,2000000000,0.0,0.0,no unlock,0.0,0.0,56.42544787699252,0.1695633743111488
2019-12-23,ALGO,0,3550500000,2000000000,280510753,2000000000,0.0,0.0,no unlock,0.0,0.0,56.33009435290804,0.16927634363097757
2019-12-24,ALGO,0,3556500000,2000000000,282123656,2000000000,0.0,0.0,no unlock,0.0,0.0,56.2350625615071,0.16899028305872413
2019-12-25,ALGO,0,3562500000,2000000000,283736559,2000000000,0.0,0.0,no unlock,0.0,0.0,56.14035087719298,0.1687051876845213
