Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-04-14,MULTI,12.28,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-15,MULTI,11.45,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-16,MULTI,11.15,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-17,MULTI,11.2,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-18,MULTI,11.99,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-19,MULTI,12.17,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-20,MULTI,12.4,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-21,MULTI,12.76,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-22,MULTI,12.04,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-23,MULTI,11.64,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-24,MULTI,11.58,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-25,MULTI,11.36,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-26,MULTI,10.86,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-27,MULTI,9.71,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-28,MULTI,9.93,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-29,MULTI,9.99,18639320,1,0,0.0,0.0,no unlock,0.0
2022-04-30,MULTI,8.83,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-01,MULTI,7.95,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-02,MULTI,9.31,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-03,MULTI,8.93,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-04,MULTI,9.02,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-05,MULTI,9.78,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-06,MULTI,11.32,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-07,MULTI,10.44,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-08,MULTI,11.73,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-09,MULTI,10.37,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-10,MULTI,9.21,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-11,MULTI,10.43,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-12,MULTI,8.37,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-13,MULTI,7.06,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-14,MULTI,7.54,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-15,MULTI,7.66,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-16,MULTI,8.46,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-17,MULTI,7.92,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-18,MULTI,7.71,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-19,MULTI,6.82,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-20,MULTI,6.84,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-21,MULTI,5.72,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-22,MULTI,6.21,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-23,MULTI,6.17,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-24,MULTI,6.07,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-25,MULTI,5.6,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-26,MULTI,5.32,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-27,MULTI,4.93,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-28,MULTI,4.73,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-29,MULTI,5.0,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-30,MULTI,4.97,18639320,1,0,0.0,0.0,no unlock,0.0
2022-05-31,MULTI,5.47,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-01,MULTI,5.3,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-02,MULTI,4.9,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-03,MULTI,4.97,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-04,MULTI,4.73,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-05,MULTI,4.82,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-06,MULTI,4.88,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-07,MULTI,4.93,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-08,MULTI,4.84,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-09,MULTI,4.81,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-10,MULTI,4.92,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-11,MULTI,4.73,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-12,MULTI,4.39,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-13,MULTI,3.87,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-14,MULTI,3.42,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-15,MULTI,3.52,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-16,MULTI,3.48,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-17,MULTI,3.2,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-18,MULTI,3.25,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-19,MULTI,3.06,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-20,MULTI,3.2,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-21,MULTI,3.24,18639320,1,0,0.0,0.0,no unlock,0.0
2022-06-22,MULTI,3.34,18639320,1,0,0.0,0.0,no unlock,0.0
