Date,Symbol,Price,Unlocked Supply,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2014-04-09,DOGE,0,68531841542,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4837552822552359
2014-04-10,DOGE,0,68861771890,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.48142635682393115
2014-04-12,DOGE,0,69521632586,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.9582394961518902
2014-04-13,DOGE,0,69851562934,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.47457220972460323
2014-04-15,DOGE,0,70511423630,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.9446613193515462
2014-04-16,DOGE,0,70841353978,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.467910490265051
2014-04-17,DOGE,0,71171284326,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4657312847273654
2014-04-19,DOGE,0,71831145022,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.9271445671508591
2014-04-20,DOGE,0,72161075370,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4593137808104701
2014-04-22,DOGE,0,72820936066,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.9144274702346361
2014-04-23,DOGE,0,73150866414,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4530707318853651
2014-04-24,DOGE,0,73480796762,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.45102725938028837
2014-04-26,DOGE,0,74140657458,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.8980042746913186
2014-04-27,DOGE,0,74470587806,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4450059647594877
2014-04-28,DOGE,0,75000000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.7109010544930141
2014-04-30,DOGE,0,75223186726,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.29758230133333335
2014-05-01,DOGE,0,75383267525,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21280778702329287
2014-05-03,DOGE,0,75703429123,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.42471175436090247
2014-05-04,DOGE,0,75863509923,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21145779240714038
2014-05-05,DOGE,0,76023590722,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21101159063491645
2014-05-07,DOGE,0,76343752321,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4211345398966408
2014-05-08,DOGE,0,76503833120,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2096842166296905
2014-05-10,DOGE,0,76823994719,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.41849092515117625
2014-05-11,DOGE,0,76984075518,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2083734379935974
2014-05-12,DOGE,0,77144156317,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20794014596248644
2014-05-14,DOGE,0,77464317916,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4150173056328404
2014-05-15,DOGE,0,77624398715,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2066510146950327
2014-05-16,DOGE,0,77784479514,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20622484895211984
2014-05-18,DOGE,0,78104641113,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4116008759078678
2014-05-19,DOGE,0,78264721912,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20495683319048708
2014-05-21,DOGE,0,78584883511,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4090752400040291
2014-05-22,DOGE,0,78744964310,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20370431544584847
2014-05-23,DOGE,0,78905045109,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2032902045263496
