block_height,recipient_hash,reward_amount
150,1N8SwzBqNQccJQBMsVe5ukvSVhf6vxHVSm,50.0
151,1DLfzP5v2KegZK88rsNj8z1YKSb4VzBfsu,50.0
152,17KG5gGwKu1DNNaMdrngw3UdZUh4ZhacNT,50.0
153,1B1urSvRRSFjupa5THHsF8FNxTarDVexYg,50.0
154,1QHTV856dWWwzSQN738tvEneYgsagQdYpM,50.0
155,1AQgsAVd49Tk9kxgsdDRFMwLjyD997p6dJ,50.0
156,1J9Wdx5F57jgNYSw7vaP3oCMWHnjaD3MEq,50.0
157,1CtABfwubzxuoHacNEZ6FJCBumtTbz71AA,50.0
158,1H5canZg3AwU44Fe65HG2siti9mFJnkc8,50.0
159,1KuX1qeF7qimFiurBDxQUktAgNE3qNA8zx,50.0
160,1ax2fn3tdpH1R3A2yNFtp8Fn7Z7rt9DnY,50.0
161,1ELLM7xHcUC1Z2BnDpGQ2Eg2ZXZeGSDkbU,50.0
162,1HgeuTkMfQ3xh6hPo9ZZKvHom8AAXdfA4X,50.0
166,1BQRxmgPsyWWv6GD64kUDxtNq3K2RGc9KL,50.0
167,1Fr33GRhy7zN8eXkWDf31icUBRUmoicnJz,50.0
171,1JhxuRHf7FiJYb8Ymc9czohwm9cJn2WaQW,50.0
173,1LNKBdzwXmisa67qtYCofsZWwgZW2wewmn,50.0
177,1PA4XBfKLjACMQUUupBEDzwhSsLRKriAkr,50.0
179,1HPgEWbEzFC6FWbcEJtasvZBaW5YTdmfMC,50.0
180,1Pudc88gyFynBVZccRJeYyEV7ZnjfXnfKn,50.0
181,1JSW4QekxPokWWU4hcRwrheZbZKSkFz9oc,50.0
182,1Fr947YZyEWZd2JPcvDJbsYN6Po5gXRyau,50.0
183,1642o19pahkkdwHuPSx6uxk9HMmC243Bu7,50.0
184,1PNF7mJ2VrgZCMSfUjiWxDteNBHEm15kMg,50.0
185,1H4Urq49poTRfszssMDT12dMnoDxSBEs7e,50.0
187,1FDMwEo8qNa9icVcooBUoGvA6NriePtJJ3,50.0
191,1QEDtTS36hrcJuv6SvhqoUvVrfMLdkaN7C,50.0
198,1AL11Yfw2ZP9C4wGiWf99jwZyTjWWY4JVn,50.0
199,1LKriCmDaBz4SfCoDjcjR1b9CmQTHibCcr,50.0
200,1HwmP33SaknLYShXfjVU8KmVThU3JiuVgH,50.0
201,1PAL9ZNuwAcufS8xSnGMCpQqECFF9g9QN1,50.0
202,1P8BjGr7JG8zfDTZBE4Kat2KthsDJ9xg5e,50.0
203,14fKXAX9CFFGVE2txHtTbLX5owb6x9dYh3,50.0
205,1AxA6X2FSY5NSZzWS25RXA7j6uhTGEZ9eD,50.0
207,13QWmek3hEUhhcXL6PkyaQvW8cYuZwGFpM,50.0
208,1F7RYd4KM2AesmFx83JYgLKibYrfxcWYaV,50.0
209,1GpHVwFv8Qnxov68HxZwdfvMDtEaYucGcR,50.0
211,12vhcB2bfspTua6XLpLcZPP4zpkudmw2re,50.0
212,1EvRbs7Fc6R6V8LsnoD3Ntng9vWfmreeRT,50.0
213,16DvfwUBRqaZGaMWnzSnX8TPUantMKXhjV,50.0
214,1Po1b27dVXkmyQdKXk5AvHUzdgEk5MvMvC,50.0
215,1GB9LgiyE6Upg2qbVGy2phKfgVZB681WhC,50.0
216,1NZA1LZDbyeE9qdHWeJnN5DN7ZDJShsssU,50.0
217,1CRtj3XYXjtmHNw44QLZ63AGEM6SFa6wob,50.0
218,1FyiELmwtmD2mrN6hRzw6P76zLg3WJoCwB,50.0
219,1HL3xqCGJwCcME5wgjz1NJLj5o79zp3W7y,50.0
220,1MUuVeuS6DDS5QKR2BNZ9fipXCEsFujaMH,50.0
221,1BW3idasrBsovBWDzauf1yTh6QWK9UUEj5,50.0
222,12wm668ySFxjAPGnZHPBR4uWqUmNdXg2kP,50.0
223,1G5Gp7b1u5cTN5xjypETNpmCTpbDdoXJMA,50.0
224,1AUyVCU1zU8YcfH8FHeJHREzSsE7ZHqgVN,50.0
225,13zrE76hjXh1wwtUFE6WsCbrG7NPWgRBVW,50.0
226,1MBTMZxy2g1shi2Sx37AwGpo6o5if7iq5F,50.0
227,1MVXEbi7xErjRaszVDwycUbeR8dYBVNKnE,50.0
228,1DcgZPFErBcASaPqsqyB42dUFjCJEro4A2,50.0
229,1HRGtCwm8vxA3GUobDLDGo7Wya6FXhwuDe,50.0
230,184wTUutRt5geVhpCzhnp8vmKJWjUQGeah,50.0
231,19PVrVqTjMaAUXxNZKytffiebVM9U1S9Dy,50.0
232,15WV17J7pbDKdZ6eeGBg5yZ9jb26TaW8GB,50.0
233,1DecGxfc8DuoLjV75WdNE7BfjVRGE5ACqi,50.0
234,12bAezJkUhUxUDVZUypN9HP7obfWm58hSw,50.0
237,15z1nJqsrAUchqwQ4hsWnyPru2nUjuuDhR,50.0
238,1ALp4qPqGju9gmupfdRwAEyREN38Uqipyv,50.0
239,1Dk9PekCU6BkLy5pRHfWvSw791BiVdKBXj,50.0
241,13kjsBfe8D7bwmT938DxCLHzjvae6uvHPg,50.0
242,1SLkiCeQwBe56cvKMXmo8dYAe8SmjfrwX,50.0
243,1JKb22MuD4BhZMru2jpdpy8iRATyEDpy33,50.0
244,1CbGkbGuvdoZGnywSfq6iV5MBQuaFQZfKb,50.0
245,1PQhPpysTvkYRpjpHL48KuQTRW7yS2k9Hx,50.0
