Date,Symbol,Available Supply,Unlocked Supply,Private Sales,Protocol Development,Ecosystem Growth,Community Access Sale
Apr 19 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 17 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 15 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 13 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 11 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 09 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 06 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 04 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Apr 02 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 31 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 29 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 27 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 25 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 22 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 20 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 18 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 16 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 14 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 12 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 10 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 07 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 05 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 03 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Mar 01 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 28 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 26 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 23 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 21 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 19 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 17 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 15 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 13 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 11 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 08 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 06 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 04 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Feb 02 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jan 31 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jan 29 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jan 26 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jan 24 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jan 22 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jan 20 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jan 18 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Jan 16 2028,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Jan 14 2028,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Jan 11 2028,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Jan 09 2028,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Jan 07 2028,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Jan 05 2028,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Jan 03 2028,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Jan 01 2028,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 30 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 27 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 25 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 23 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 21 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 19 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 17 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
Dec 14 2027,ONDO,7268334147.00,7268334147.00,967684533.00,2475000000.00,3626765203.00,198884411.00
