Date,Symbol,Available Supply,Unlocked Supply,Marketing (TBD),BONK DAO (TBD),Early Contributor,Initial Liquidity,Solana Developer,Solana Artist and Collectors,Solana Market Participants and Defi Users,Solana NFT Projects
Nov 09 2025,BONK,98984489051094.60,77884489051094.61,5300000000000.00,15800000000000.00,19984489051094.61,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 07 2025,BONK,98946167883211.40,77846167883211.40,5300000000000.00,15800000000000.00,19946167883211.40,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 06 2025,BONK,98927007299269.80,77827007299269.80,5300000000000.00,15800000000000.00,19927007299269.79,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 05 2025,BONK,98907846715328.20,77807846715328.19,5300000000000.00,15800000000000.00,19907846715328.19,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 03 2025,BONK,98869525547444.95,77769525547444.97,5300000000000.00,15800000000000.00,19869525547444.98,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 02 2025,BONK,98850364963503.38,77750364963503.38,5300000000000.00,15800000000000.00,19850364963503.37,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Nov 01 2025,BONK,98831204379561.77,77731204379561.77,5300000000000.00,15800000000000.00,19831204379561.77,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 30 2025,BONK,98792883211678.56,77692883211678.56,5300000000000.00,15800000000000.00,19792883211678.56,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 29 2025,BONK,98773722627736.95,77673722627736.95,5300000000000.00,15800000000000.00,19773722627736.95,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 28 2025,BONK,98754562043795.34,77654562043795.34,5300000000000.00,15800000000000.00,19754562043795.35,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 26 2025,BONK,98716240875912.12,77616240875912.12,5300000000000.00,15800000000000.00,19716240875912.13,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 25 2025,BONK,98697080291970.52,77597080291970.53,5300000000000.00,15800000000000.00,19697080291970.53,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
