Date,Symbol,Available Supply,Unlocked Supply,esGMX Rewards,Contributors,GMX:ETH Uniswap Pool,Marketing and Partnerships,Floor Price Fund,XVIX and Gambit migration
Jun 22 2028,GMX,13217916.67,13217916.67,1967916.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 19 2028,GMX,13216666.67,13216666.67,1966666.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 16 2028,GMX,13215416.67,13215416.67,1965416.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 13 2028,GMX,13214166.67,13214166.67,1964166.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 10 2028,GMX,13212916.67,13212916.67,1962916.67,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 07 2028,GMX,13211693.55,13211693.55,1961693.55,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 04 2028,GMX,13210483.87,13210483.87,1960483.87,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jun 01 2028,GMX,13209274.19,13209274.19,1959274.19,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 29 2028,GMX,13208064.52,13208064.52,1958064.52,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 26 2028,GMX,13206854.84,13206854.84,1956854.84,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 23 2028,GMX,13205645.16,13205645.16,1955645.16,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 20 2028,GMX,13204435.48,13204435.48,1954435.48,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 17 2028,GMX,13203225.81,13203225.81,1953225.81,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 14 2028,GMX,13202016.13,13202016.13,1952016.13,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 11 2028,GMX,13200806.45,13200806.45,1950806.45,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 08 2028,GMX,13199583.33,13199583.33,1949583.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 05 2028,GMX,13198333.33,13198333.33,1948333.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 02 2028,GMX,13197083.33,13197083.33,1947083.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 29 2028,GMX,13195833.33,13195833.33,1945833.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 26 2028,GMX,13194583.33,13194583.33,1944583.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 23 2028,GMX,13193333.33,13193333.33,1943333.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
