Date,Symbol,Available Supply,Unlocked Supply,Liquidity Incentives,Team,Investors,Ecosystem Fund,Advisors,Liquidity Bootstrapping
Jan 20 2030,PENDLE,372066215.73,372066215.73,148234716.73,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 16 2030,PENDLE,372015811.38,372015811.38,148184312.38,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 12 2030,PENDLE,371965407.03,371965407.03,148133908.03,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 08 2030,PENDLE,371915002.67,371915002.67,148083503.67,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 04 2030,PENDLE,371864598.32,371864598.32,148033099.32,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 31 2029,PENDLE,371814193.97,371814193.97,147982694.97,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 27 2029,PENDLE,371763789.62,371763789.62,147932290.62,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 23 2029,PENDLE,371713385.27,371713385.27,147881886.27,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 19 2029,PENDLE,371662980.92,371662980.92,147831481.92,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 15 2029,PENDLE,371612576.57,371612576.57,147781077.57,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 11 2029,PENDLE,371562172.21,371562172.21,147730673.21,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 07 2029,PENDLE,371511767.86,371511767.86,147680268.86,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Dec 03 2029,PENDLE,371461363.51,371461363.51,147629864.51,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 29 2029,PENDLE,371410959.16,371410959.16,147579460.16,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 25 2029,PENDLE,371360554.81,371360554.81,147529055.81,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 21 2029,PENDLE,371310150.46,371310150.46,147478651.46,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 17 2029,PENDLE,371259746.10,371259746.10,147428247.10,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 13 2029,PENDLE,371209341.75,371209341.75,147377842.75,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 09 2029,PENDLE,371158937.40,371158937.40,147327438.40,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 05 2029,PENDLE,371108533.05,371108533.05,147277034.05,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Nov 01 2029,PENDLE,371058128.70,371058128.70,147226629.70,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 29 2029,PENDLE,371020325.43,371020325.43,147188826.43,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 25 2029,PENDLE,370969921.08,370969921.08,147138422.08,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 21 2029,PENDLE,370919516.73,370919516.73,147088017.73,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 17 2029,PENDLE,370869112.38,370869112.38,147037613.38,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 13 2029,PENDLE,370818708.03,370818708.03,146987209.03,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 09 2029,PENDLE,370768303.68,370768303.68,146936804.68,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 05 2029,PENDLE,370717899.32,370717899.32,146886400.32,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 01 2029,PENDLE,370667494.97,370667494.97,146835995.97,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 27 2029,PENDLE,370617090.62,370617090.62,146785591.62,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 23 2029,PENDLE,370566686.27,370566686.27,146735187.27,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 19 2029,PENDLE,370516281.92,370516281.92,146684782.92,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 15 2029,PENDLE,370465877.57,370465877.57,146634378.57,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 11 2029,PENDLE,370415473.21,370415473.21,146583974.21,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 07 2029,PENDLE,370365068.86,370365068.86,146533569.86,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 03 2029,PENDLE,370314664.51,370314664.51,146483165.51,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 30 2029,PENDLE,370264260.16,370264260.16,146432761.16,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 26 2029,PENDLE,370213855.81,370213855.81,146382356.81,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 22 2029,PENDLE,370163451.46,370163451.46,146331952.46,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 18 2029,PENDLE,370113047.10,370113047.10,146281548.10,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
