Date,Symbol,Available Supply,Unlocked Supply,Project Development,Node Emissions,Ecosystem Fund,Strategic Reserve,TGE & Liquidity Provision
Aug 30 2048,MYRIA,49997186537.93,49997186537.93,9500000000.00,17997186537.93,20000000000.00,1000000000.00,1500000000.00
Aug 19 2048,MYRIA,49997153473.76,49997153473.76,9500000000.00,17997153473.75,20000000000.00,1000000000.00,1500000000.00
Aug 08 2048,MYRIA,49997120409.58,49997120409.58,9500000000.00,17997120409.58,20000000000.00,1000000000.00,1500000000.00
Jul 27 2048,MYRIA,49997084339.56,49997084339.56,9500000000.00,17997084339.56,20000000000.00,1000000000.00,1500000000.00
Jul 16 2048,MYRIA,49997051275.38,49997051275.38,9500000000.00,17997051275.38,20000000000.00,1000000000.00,1500000000.00
Jul 05 2048,MYRIA,49997018211.20,49997018211.20,9500000000.00,17997018211.20,20000000000.00,1000000000.00,1500000000.00
Jun 24 2048,MYRIA,49996985147.03,49996985147.03,9500000000.00,17996985147.02,20000000000.00,1000000000.00,1500000000.00
Jun 12 2048,MYRIA,49996949077.01,49996949077.01,9500000000.00,17996949077.01,20000000000.00,1000000000.00,1500000000.00
Jun 01 2048,MYRIA,49996916012.83,49996916012.83,9500000000.00,17996916012.83,20000000000.00,1000000000.00,1500000000.00
May 21 2048,MYRIA,49996882948.65,49996882948.65,9500000000.00,17996882948.65,20000000000.00,1000000000.00,1500000000.00
May 10 2048,MYRIA,49996849884.47,49996849884.47,9500000000.00,17996849884.47,20000000000.00,1000000000.00,1500000000.00
Apr 29 2048,MYRIA,49996816820.29,49996816820.29,9500000000.00,17996816820.29,20000000000.00,1000000000.00,1500000000.00
Apr 17 2048,MYRIA,49996780750.28,49996780750.28,9500000000.00,17996780750.28,20000000000.00,1000000000.00,1500000000.00
Apr 06 2048,MYRIA,49996747686.10,49996747686.10,9500000000.00,17996747686.10,20000000000.00,1000000000.00,1500000000.00
Mar 26 2048,MYRIA,49996714621.92,49996714621.92,9500000000.00,17996714621.92,20000000000.00,1000000000.00,1500000000.00
Mar 15 2048,MYRIA,49996681557.74,49996681557.74,9500000000.00,17996681557.74,20000000000.00,1000000000.00,1500000000.00
Mar 03 2048,MYRIA,49996645487.73,49996645487.73,9500000000.00,17996645487.73,20000000000.00,1000000000.00,1500000000.00
