Date,Symbol,Available Supply,Unlocked Supply,Foundation,Team,Staking Rewards,Ecosystem,Advisors,Private Investors,Binance IEO Investors
Oct 20 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 18 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 15 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 13 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 11 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 09 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 07 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 05 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Oct 03 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 30 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 28 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 26 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 24 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 22 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 20 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 18 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 16 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 13 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 11 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 09 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 07 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 05 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 03 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Sep 01 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 30 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 27 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 25 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 23 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 21 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 19 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Aug 17 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
