Date,Symbol,Available Supply,Unlocked Supply,Decentraland DAO,Decentraland Foundation,Team,Crowdsale
Oct 15 2028,MANA,1879176973.17,1879176973.17,191799015.59,191799015.59,375578942.00,1120000000.00
Oct 10 2028,MANA,1878569918.21,1878569918.21,191495488.10,191495488.10,375578942.00,1120000000.00
Oct 04 2028,MANA,1877841452.25,1877841452.25,191131255.13,191131255.13,375578942.00,1120000000.00
Sep 29 2028,MANA,1877234397.29,1877234397.29,190827727.65,190827727.65,375578942.00,1120000000.00
Sep 24 2028,MANA,1876627342.33,1876627342.33,190524200.16,190524200.16,375578942.00,1120000000.00
Sep 19 2028,MANA,1876020287.37,1876020287.37,190220672.68,190220672.68,375578942.00,1120000000.00
Sep 13 2028,MANA,1875291821.41,1875291821.41,189856439.70,189856439.70,375578942.00,1120000000.00
Sep 08 2028,MANA,1874684766.45,1874684766.45,189552912.22,189552912.22,375578942.00,1120000000.00
Sep 03 2028,MANA,1874077711.48,1874077711.48,189249384.74,189249384.74,375578942.00,1120000000.00
Aug 29 2028,MANA,1873470656.52,1873470656.52,188945857.26,188945857.26,375578942.00,1120000000.00
Aug 24 2028,MANA,1872863601.56,1872863601.56,188642329.78,188642329.78,375578942.00,1120000000.00
Aug 18 2028,MANA,1872135135.60,1872135135.60,188278096.80,188278096.80,375578942.00,1120000000.00
Aug 13 2028,MANA,1871528080.64,1871528080.64,187974569.32,187974569.32,375578942.00,1120000000.00
Aug 08 2028,MANA,1870921025.68,1870921025.68,187671041.84,187671041.84,375578942.00,1120000000.00
Aug 03 2028,MANA,1870313970.71,1870313970.71,187367514.36,187367514.36,375578942.00,1120000000.00
Jul 28 2028,MANA,1869585504.76,1869585504.76,187003281.38,187003281.38,375578942.00,1120000000.00
Jul 23 2028,MANA,1868978449.79,1868978449.79,186699753.90,186699753.90,375578942.00,1120000000.00
Jul 18 2028,MANA,1868371394.83,1868371394.83,186396226.42,186396226.42,375578942.00,1120000000.00
Jul 13 2028,MANA,1867764339.87,1867764339.87,186092698.93,186092698.93,375578942.00,1120000000.00
Jul 07 2028,MANA,1867035873.91,1867035873.91,185728465.96,185728465.96,375578942.00,1120000000.00
Jul 02 2028,MANA,1866428818.95,1866428818.95,185424938.47,185424938.47,375578942.00,1120000000.00
Jun 27 2028,MANA,1865821763.99,1865821763.99,185121410.99,185121410.99,375578942.00,1120000000.00
Jun 22 2028,MANA,1865214709.02,1865214709.02,184817883.51,184817883.51,375578942.00,1120000000.00
Jun 16 2028,MANA,1864486243.07,1864486243.07,184453650.53,184453650.53,375578942.00,1120000000.00
Jun 11 2028,MANA,1863879188.10,1863879188.10,184150123.05,184150123.05,375578942.00,1120000000.00
Jun 06 2028,MANA,1863272133.14,1863272133.14,183846595.57,183846595.57,375578942.00,1120000000.00
Jun 01 2028,MANA,1862665078.18,1862665078.18,183543068.09,183543068.09,375578942.00,1120000000.00
May 27 2028,MANA,1862058023.21,1862058023.21,183239540.61,183239540.61,375578942.00,1120000000.00
May 21 2028,MANA,1861329557.26,1861329557.26,182875307.63,182875307.63,375578942.00,1120000000.00
May 16 2028,MANA,1860722502.30,1860722502.30,182571780.15,182571780.15,375578942.00,1120000000.00
May 11 2028,MANA,1860115447.33,1860115447.33,182268252.67,182268252.67,375578942.00,1120000000.00
May 06 2028,MANA,1859508392.37,1859508392.37,181964725.18,181964725.18,375578942.00,1120000000.00
Apr 30 2028,MANA,1858779926.41,1858779926.41,181600492.21,181600492.21,375578942.00,1120000000.00
Apr 25 2028,MANA,1858172871.45,1858172871.45,181296964.73,181296964.73,375578942.00,1120000000.00
Apr 20 2028,MANA,1857565816.49,1857565816.49,180993437.24,180993437.24,375578942.00,1120000000.00
Apr 15 2028,MANA,1856958761.52,1856958761.52,180689909.76,180689909.76,375578942.00,1120000000.00
Apr 09 2028,MANA,1856230295.57,1856230295.57,180325676.78,180325676.78,375578942.00,1120000000.00
Apr 04 2028,MANA,1855623240.61,1855623240.61,180022149.30,180022149.30,375578942.00,1120000000.00
Mar 30 2028,MANA,1855016185.64,1855016185.64,179718621.82,179718621.82,375578942.00,1120000000.00
Mar 25 2028,MANA,1854409130.68,1854409130.68,179415094.34,179415094.34,375578942.00,1120000000.00
Mar 20 2028,MANA,1853802075.72,1853802075.72,179111566.86,179111566.86,375578942.00,1120000000.00
Mar 14 2028,MANA,1853073609.76,1853073609.76,178747333.88,178747333.88,375578942.00,1120000000.00
Mar 09 2028,MANA,1852466554.80,1852466554.80,178443806.40,178443806.40,375578942.00,1120000000.00
Mar 04 2028,MANA,1851859499.83,1851859499.83,178140278.92,178140278.92,375578942.00,1120000000.00
Feb 28 2028,MANA,1851252444.87,1851252444.87,177836751.44,177836751.44,375578942.00,1120000000.00
Feb 22 2028,MANA,1850523978.92,1850523978.92,177472518.46,177472518.46,375578942.00,1120000000.00
Feb 17 2028,MANA,1849916923.95,1849916923.95,177168990.98,177168990.98,375578942.00,1120000000.00
Feb 12 2028,MANA,1849309868.99,1849309868.99,176865463.49,176865463.49,375578942.00,1120000000.00
Feb 07 2028,MANA,1848702814.03,1848702814.03,176561936.01,176561936.01,375578942.00,1120000000.00
Feb 01 2028,MANA,1847974348.07,1847974348.07,176197703.04,176197703.04,375578942.00,1120000000.00
Jan 27 2028,MANA,1847367293.11,1847367293.11,175894175.55,175894175.55,375578942.00,1120000000.00
Jan 22 2028,MANA,1846760238.14,1846760238.14,175590648.07,175590648.07,375578942.00,1120000000.00
Jan 17 2028,MANA,1846153183.18,1846153183.18,175287120.59,175287120.59,375578942.00,1120000000.00
Jan 11 2028,MANA,1845424717.23,1845424717.23,174922887.61,174922887.61,375578942.00,1120000000.00
Jan 06 2028,MANA,1844817662.26,1844817662.26,174619360.13,174619360.13,375578942.00,1120000000.00
Jan 01 2028,MANA,1844210607.30,1844210607.30,174315832.65,174315832.65,375578942.00,1120000000.00
Dec 27 2027,MANA,1843603552.34,1843603552.34,174012305.17,174012305.17,375578942.00,1120000000.00
Dec 22 2027,MANA,1842996497.37,1842996497.37,173708777.69,173708777.69,375578942.00,1120000000.00
Dec 16 2027,MANA,1842268031.42,1842268031.42,173344544.71,173344544.71,375578942.00,1120000000.00
Dec 11 2027,MANA,1841660976.45,1841660976.45,173041017.23,173041017.23,375578942.00,1120000000.00
Dec 06 2027,MANA,1841053921.49,1841053921.49,172737489.75,172737489.75,375578942.00,1120000000.00
Dec 01 2027,MANA,1840446866.53,1840446866.53,172433962.26,172433962.26,375578942.00,1120000000.00
Nov 25 2027,MANA,1839718400.57,1839718400.57,172069729.29,172069729.29,375578942.00,1120000000.00
Nov 20 2027,MANA,1839111345.61,1839111345.61,171766201.80,171766201.80,375578942.00,1120000000.00
Nov 15 2027,MANA,1838504290.65,1838504290.65,171462674.32,171462674.32,375578942.00,1120000000.00
Nov 10 2027,MANA,1837897235.68,1837897235.68,171159146.84,171159146.84,375578942.00,1120000000.00
Nov 04 2027,MANA,1837168769.73,1837168769.73,170794913.86,170794913.86,375578942.00,1120000000.00
Oct 30 2027,MANA,1836561714.76,1836561714.76,170491386.38,170491386.38,375578942.00,1120000000.00
Oct 25 2027,MANA,1835954659.80,1835954659.80,170187858.90,170187858.90,375578942.00,1120000000.00
Oct 20 2027,MANA,1835347604.84,1835347604.84,169884331.42,169884331.42,375578942.00,1120000000.00
Oct 15 2027,MANA,1834740549.88,1834740549.88,169580803.94,169580803.94,375578942.00,1120000000.00
Oct 09 2027,MANA,1834012083.92,1834012083.92,169216570.96,169216570.96,375578942.00,1120000000.00
Oct 04 2027,MANA,1833405028.96,1833405028.96,168913043.48,168913043.48,375578942.00,1120000000.00
Sep 29 2027,MANA,1832797973.99,1832797973.99,168609516.00,168609516.00,375578942.00,1120000000.00
Sep 24 2027,MANA,1832190919.03,1832190919.03,168305988.52,168305988.52,375578942.00,1120000000.00
Sep 18 2027,MANA,1831462453.07,1831462453.07,167941755.54,167941755.54,375578942.00,1120000000.00
Sep 13 2027,MANA,1830855398.11,1830855398.11,167638228.06,167638228.06,375578942.00,1120000000.00
Sep 08 2027,MANA,1830248343.15,1830248343.15,167334700.57,167334700.57,375578942.00,1120000000.00
Sep 03 2027,MANA,1829641288.19,1829641288.19,167031173.09,167031173.09,375578942.00,1120000000.00
Aug 28 2027,MANA,1828912822.23,1828912822.23,166666940.11,166666940.11,375578942.00,1120000000.00
Aug 23 2027,MANA,1828305767.27,1828305767.27,166363412.63,166363412.63,375578942.00,1120000000.00
Aug 18 2027,MANA,1827698712.30,1827698712.30,166059885.15,166059885.15,375578942.00,1120000000.00
Aug 13 2027,MANA,1827091657.34,1827091657.34,165756357.67,165756357.67,375578942.00,1120000000.00
Aug 07 2027,MANA,1826363191.38,1826363191.38,165392124.69,165392124.69,375578942.00,1120000000.00
Aug 02 2027,MANA,1825756136.42,1825756136.42,165088597.21,165088597.21,375578942.00,1120000000.00
Jul 28 2027,MANA,1825149081.46,1825149081.46,164785069.73,164785069.73,375578942.00,1120000000.00
Jul 23 2027,MANA,1824542026.50,1824542026.50,164481542.25,164481542.25,375578942.00,1120000000.00
Jul 18 2027,MANA,1823934971.53,1823934971.53,164178014.77,164178014.77,375578942.00,1120000000.00
Jul 12 2027,MANA,1823206505.58,1823206505.58,163813781.79,163813781.79,375578942.00,1120000000.00
Jul 07 2027,MANA,1822599450.61,1822599450.61,163510254.31,163510254.31,375578942.00,1120000000.00
Jul 02 2027,MANA,1821992395.65,1821992395.65,163206726.83,163206726.83,375578942.00,1120000000.00
Jun 27 2027,MANA,1821385340.69,1821385340.69,162903199.34,162903199.34,375578942.00,1120000000.00
Jun 21 2027,MANA,1820656874.73,1820656874.73,162538966.37,162538966.37,375578942.00,1120000000.00
Jun 16 2027,MANA,1820049819.77,1820049819.77,162235438.88,162235438.88,375578942.00,1120000000.00
