Date,Symbol,Available Supply,Unlocked Supply,Community Issuance,Team and Advisors,Service Providers,Liquity AG Endowment,Investors,LUSD:ETH Uniswap LPs,Community Reserve
Feb 02 2035,LQTY,99997715.12,99997715.12,31997715.12,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jan 27 2035,LQTY,99997683.01,99997683.01,31997683.01,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jan 21 2035,LQTY,99997650.90,99997650.90,31997650.90,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jan 14 2035,LQTY,99997613.45,99997613.45,31997613.45,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jan 08 2035,LQTY,99997581.34,99997581.34,31997581.34,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jan 02 2035,LQTY,99997549.23,99997549.23,31997549.23,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 27 2034,LQTY,99997517.13,99997517.13,31997517.13,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 20 2034,LQTY,99997479.67,99997479.67,31997479.67,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 14 2034,LQTY,99997447.56,99997447.56,31997447.56,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 08 2034,LQTY,99997415.46,99997415.46,31997415.46,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 02 2034,LQTY,99997383.35,99997383.35,31997383.35,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 25 2034,LQTY,99997345.89,99997345.89,31997345.89,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 19 2034,LQTY,99997313.79,99997313.79,31997313.79,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 13 2034,LQTY,99997281.68,99997281.68,31997281.68,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 07 2034,LQTY,99997249.57,99997249.57,31997249.57,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 31 2034,LQTY,99997212.12,99997212.12,31997212.12,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 25 2034,LQTY,99997180.01,99997180.01,31997180.01,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 19 2034,LQTY,99997147.91,99997147.91,31997147.91,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 13 2034,LQTY,99997115.80,99997115.80,31997115.80,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 06 2034,LQTY,99997078.34,99997078.34,31997078.34,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 30 2034,LQTY,99997046.24,99997046.24,31997046.24,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 24 2034,LQTY,99997014.13,99997014.13,31997014.13,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 18 2034,LQTY,99996982.02,99996982.02,31996982.02,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 11 2034,LQTY,99996944.57,99996944.57,31996944.57,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 05 2034,LQTY,99996912.46,99996912.46,31996912.46,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 30 2034,LQTY,99996880.35,99996880.35,31996880.35,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 24 2034,LQTY,99996848.25,99996848.25,31996848.25,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 17 2034,LQTY,99996810.79,99996810.79,31996810.79,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 11 2034,LQTY,99996778.68,99996778.68,31996778.68,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 05 2034,LQTY,99996746.58,99996746.58,31996746.58,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 30 2034,LQTY,99996714.47,99996714.47,31996714.47,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 23 2034,LQTY,99996677.01,99996677.01,31996677.01,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 17 2034,LQTY,99996644.91,99996644.91,31996644.91,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 11 2034,LQTY,99996612.80,99996612.80,31996612.80,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 05 2034,LQTY,99996580.69,99996580.69,31996580.69,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 28 2034,LQTY,99996543.24,99996543.24,31996543.24,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 22 2034,LQTY,99996511.13,99996511.13,31996511.13,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 16 2034,LQTY,99996479.02,99996479.02,31996479.02,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 10 2034,LQTY,99996446.92,99996446.92,31996446.92,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 03 2034,LQTY,99996409.46,99996409.46,31996409.46,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 28 2034,LQTY,99996377.36,99996377.36,31996377.36,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 22 2034,LQTY,99996345.25,99996345.25,31996345.25,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 16 2034,LQTY,99996313.14,99996313.14,31996313.14,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 09 2034,LQTY,99996275.69,99996275.69,31996275.69,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
May 03 2034,LQTY,99996243.58,99996243.58,31996243.58,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 27 2034,LQTY,99996211.47,99996211.47,31996211.47,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 21 2034,LQTY,99996179.37,99996179.37,31996179.37,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 14 2034,LQTY,99996141.91,99996141.91,31996141.91,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 08 2034,LQTY,99996109.80,99996109.80,31996109.80,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Apr 02 2034,LQTY,99996061.64,99996061.64,31996061.64,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 27 2034,LQTY,99995997.43,99995997.43,31995997.43,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 20 2034,LQTY,99995922.52,99995922.52,31995922.52,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 14 2034,LQTY,99995858.30,99995858.30,31995858.30,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 08 2034,LQTY,99995794.09,99995794.09,31995794.09,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Mar 02 2034,LQTY,99995729.88,99995729.88,31995729.88,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Feb 23 2034,LQTY,99995654.97,99995654.97,31995654.97,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Feb 17 2034,LQTY,99995590.75,99995590.75,31995590.75,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Feb 11 2034,LQTY,99995526.54,99995526.54,31995526.54,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Feb 05 2034,LQTY,99995462.33,99995462.33,31995462.33,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
