Date,Symbol,Available Supply,Unlocked Supply,Treasury & Ecosystem,Development & Team,Presale,NFT Staking,Staking Reward,Liquidity Management,Airdrop
Mar 20 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 19 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 18 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 17 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 16 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 15 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 14 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 13 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 12 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 11 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 10 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 09 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 08 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 07 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 06 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 05 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 05 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 04 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 03 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 02 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Mar 01 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 29 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 28 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 27 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 26 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 25 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 24 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 23 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 22 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 21 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 20 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 19 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 18 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 17 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 16 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 15 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 14 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 13 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 12 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 11 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 10 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 09 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 08 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 07 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Feb 06 2024,X2Y2,0,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
