Date,Symbol,Available Supply,Unlocked Supply,Team and Future Employees,Private Investors,Public Sale,Community Development
Oct 28 2024,GEL,396072981.75,396072981.75,80555481.75,88344900.00,16827600.00,210345000.00
Oct 26 2024,GEL,395919445.26,395919445.26,80401945.26,88344900.00,16827600.00,210345000.00
Oct 24 2024,GEL,395765908.76,395765908.76,80248408.76,88344900.00,16827600.00,210345000.00
Oct 23 2024,GEL,395689140.51,395689140.51,80171640.51,88344900.00,16827600.00,210345000.00
Oct 21 2024,GEL,395535604.01,395535604.01,80018104.01,88344900.00,16827600.00,210345000.00
Oct 19 2024,GEL,395382067.52,395382067.52,79864567.52,88344900.00,16827600.00,210345000.00
Oct 17 2024,GEL,395228531.02,395228531.02,79711031.02,88344900.00,16827600.00,210345000.00
Oct 16 2024,GEL,395151762.77,395151762.77,79634262.77,88344900.00,16827600.00,210345000.00
Oct 14 2024,GEL,394998226.28,394998226.28,79480726.28,88344900.00,16827600.00,210345000.00
Oct 12 2024,GEL,394844689.78,394844689.78,79327189.78,88344900.00,16827600.00,210345000.00
Oct 11 2024,GEL,394767921.53,394767921.53,79250421.53,88344900.00,16827600.00,210345000.00
Oct 09 2024,GEL,394614385.04,394614385.04,79096885.04,88344900.00,16827600.00,210345000.00
Oct 07 2024,GEL,394460848.54,394460848.54,78943348.54,88344900.00,16827600.00,210345000.00
Oct 05 2024,GEL,394307312.04,394307312.04,78789812.04,88344900.00,16827600.00,210345000.00
Oct 04 2024,GEL,394230543.80,394230543.80,78713043.80,88344900.00,16827600.00,210345000.00
Oct 02 2024,GEL,394077007.30,394077007.30,78559507.30,88344900.00,16827600.00,210345000.00
Sep 30 2024,GEL,393923470.80,393923470.80,78405970.80,88344900.00,16827600.00,210345000.00
Sep 28 2024,GEL,393769934.31,393769934.31,78252434.31,88344900.00,16827600.00,210345000.00
Sep 27 2024,GEL,393693166.06,393693166.06,78175666.06,88344900.00,16827600.00,210345000.00
Sep 25 2024,GEL,393539629.56,393539629.56,78022129.56,88344900.00,16827600.00,210345000.00
Sep 23 2024,GEL,393386093.07,393386093.07,77868593.07,88344900.00,16827600.00,210345000.00
Sep 21 2024,GEL,393232556.57,393232556.57,77715056.57,88344900.00,16827600.00,210345000.00
Sep 20 2024,GEL,393155788.32,393155788.32,77638288.32,88344900.00,16827600.00,210345000.00
Sep 18 2024,GEL,393002251.82,393002251.82,77484751.82,88344900.00,16827600.00,210345000.00
Sep 16 2024,GEL,392848715.33,392848715.33,77331215.33,88344900.00,16827600.00,210345000.00
Sep 14 2024,GEL,392695178.83,392695178.83,77177678.83,88344900.00,16827600.00,210345000.00
Sep 13 2024,GEL,392618410.58,392618410.58,77100910.58,88344900.00,16827600.00,210345000.00
Sep 11 2024,GEL,392464874.09,392464874.09,76947374.09,88344900.00,16827600.00,210345000.00
Sep 09 2024,GEL,392311337.59,392311337.59,76793837.59,88344900.00,16827600.00,210345000.00
Sep 07 2024,GEL,392157801.09,392157801.09,76640301.09,88344900.00,16827600.00,210345000.00
Sep 06 2024,GEL,392081032.85,392081032.85,76563532.85,88344900.00,16827600.00,210345000.00
Sep 04 2024,GEL,391927496.35,391927496.35,76409996.35,88344900.00,16827600.00,210345000.00
Sep 02 2024,GEL,391773959.85,391773959.85,76256459.85,88344900.00,16827600.00,210345000.00
Aug 31 2024,GEL,391620423.36,391620423.36,76102923.36,88344900.00,16827600.00,210345000.00
Aug 30 2024,GEL,391543655.11,391543655.11,76026155.11,88344900.00,16827600.00,210345000.00
Aug 28 2024,GEL,391390118.61,391390118.61,75872618.61,88344900.00,16827600.00,210345000.00
Aug 26 2024,GEL,391236582.12,391236582.12,75719082.12,88344900.00,16827600.00,210345000.00
Aug 24 2024,GEL,391083045.62,391083045.62,75565545.62,88344900.00,16827600.00,210345000.00
Aug 23 2024,GEL,391006277.37,391006277.37,75488777.37,88344900.00,16827600.00,210345000.00
Aug 21 2024,GEL,390852740.88,390852740.88,75335240.88,88344900.00,16827600.00,210345000.00
Aug 19 2024,GEL,390699204.38,390699204.38,75181704.38,88344900.00,16827600.00,210345000.00
Aug 18 2024,GEL,390622436.13,390622436.13,75104936.13,88344900.00,16827600.00,210345000.00
Aug 16 2024,GEL,390468899.64,390468899.64,74951399.64,88344900.00,16827600.00,210345000.00
Aug 14 2024,GEL,390315363.14,390315363.14,74797863.14,88344900.00,16827600.00,210345000.00
Aug 12 2024,GEL,390161826.64,390161826.64,74644326.64,88344900.00,16827600.00,210345000.00
Aug 11 2024,GEL,390085058.39,390085058.39,74567558.39,88344900.00,16827600.00,210345000.00
