Date,Symbol,Available Supply,Unlocked Supply,AGIX-ADA Utility,Campaign Supporters,SingularityNET Foundation,Founders,Reward Pool,Token Sale
Nov 17 2045,AGIX,1988420548.30,1988420548.30,988420548.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 05 2045,AGIX,1988420548.30,1988420548.30,988420548.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 25 2045,AGIX,1988244211.40,1988244211.40,988244211.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 14 2045,AGIX,1988244211.40,1988244211.40,988244211.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 03 2045,AGIX,1988244211.40,1988244211.40,988244211.40,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 21 2045,AGIX,1988065189.30,1988065189.30,988065189.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 10 2045,AGIX,1988065189.30,1988065189.30,988065189.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 30 2045,AGIX,1988065189.30,1988065189.30,988065189.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 19 2045,AGIX,1987883440.90,1987883440.90,987883440.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 08 2045,AGIX,1987883440.90,1987883440.90,987883440.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 27 2045,AGIX,1987698924.80,1987698924.80,987698924.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 16 2045,AGIX,1987698924.80,1987698924.80,987698924.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 05 2045,AGIX,1987698924.80,1987698924.80,987698924.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 24 2045,AGIX,1987511598.70,1987511598.70,987511598.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 12 2045,AGIX,1987511598.70,1987511598.70,987511598.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 01 2045,AGIX,1987511598.70,1987511598.70,987511598.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 21 2045,AGIX,1987321420.00,1987321420.00,987321420.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 10 2045,AGIX,1987321420.00,1987321420.00,987321420.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
