Date,Symbol,Price,Available Supply,Unlocked Supply,Investors,Team,Protocol Launch,Initial Emissions,DEXes,Bonding Curve,Community
Sep 07 2022,STG,$0.62,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 06 2022,STG,$0.60,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 06 2022,STG,$0.60,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 06 2022,STG,$0.60,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 06 2022,STG,$0.60,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 06 2022,STG,$0.60,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 05 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 05 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 05 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 05 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 05 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 04 2022,STG,$0.62,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 04 2022,STG,$0.62,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 04 2022,STG,$0.62,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 04 2022,STG,$0.62,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 03 2022,STG,$0.65,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 03 2022,STG,$0.65,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 03 2022,STG,$0.65,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 03 2022,STG,$0.65,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 03 2022,STG,$0.65,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 02 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 02 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 02 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 02 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 02 2022,STG,$0.63,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 01 2022,STG,$0.66,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 01 2022,STG,$0.66,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 01 2022,STG,$0.66,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Sep 01 2022,STG,$0.66,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 31 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 31 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 31 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 31 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 31 2022,STG,$0.71,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 30 2022,STG,$0.82,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 30 2022,STG,$0.82,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 30 2022,STG,$0.82,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 30 2022,STG,$0.82,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 30 2022,STG,$0.82,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 29 2022,STG,$0.80,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 29 2022,STG,$0.80,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 29 2022,STG,$0.80,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 29 2022,STG,$0.80,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 28 2022,STG,$0.80,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 28 2022,STG,$0.80,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 28 2022,STG,$0.80,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 28 2022,STG,$0.80,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Aug 28 2022,STG,$0.80,0,550000000.00,0,0,50000000.00,21100000.00,15500000.00,159500000.00,303900000.00
