Date,Symbol,Price,Available Supply,Unlocked Supply,Ecosystem Development,Project Development,Private Sales,Public Sales 2,Public Sales 1,Foundation Reserve
Dec 22 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 22 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 22 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 21 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 21 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 21 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 20 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 20 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 20 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 20 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 19 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 19 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 19 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 19 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 18 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 18 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 18 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 17 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 17 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 17 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 17 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 16 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 16 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 16 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Dec 15 2025,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
