Date,Symbol,Price,Available Supply,Unlocked Supply,Team Managed Wallets (TBD),Team Managed Wallets,Public Token Sale
Jul 30 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 30 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 29 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 28 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 28 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 27 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 27 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 26 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 26 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 25 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 25 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 24 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 24 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 23 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 23 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 22 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 21 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 21 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 20 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 20 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 19 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 19 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 18 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 18 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 17 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 17 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 16 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 16 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 15 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 15 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 14 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 13 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 13 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 12 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 12 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 11 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 11 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 10 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 10 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 09 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 09 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 08 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 08 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 07 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 06 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 06 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 05 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 05 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 04 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 04 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 03 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 03 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 02 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 02 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 01 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 01 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 30 2025,LINK,0,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
