Date,Symbol,Price,Available Supply,Unlocked Supply,Mining Reserve (TBD),Simple Minting,Baseline Minting,Protocol Labs Team and Contributors,Filecoin Foundation,Protocol Labs,Fundraising 36 months,Fundraising 24 months,Fundraising 12 months,Fundraising 6 months
Jan 16 2048,FIL,0,1994964399.82,1694964399.82,300000000.00,324964399.82,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 16 2048,FIL,0,1994964399.82,1694964399.82,300000000.00,324964399.82,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 15 2048,FIL,0,1994959379.28,1694959379.28,300000000.00,324959379.28,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 14 2048,FIL,0,1994954358.74,1694954358.74,300000000.00,324954358.74,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 13 2048,FIL,0,1994949338.20,1694949338.20,300000000.00,324949338.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 13 2048,FIL,0,1994949338.20,1694949338.20,300000000.00,324949338.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 12 2048,FIL,0,1994944317.66,1694944317.66,300000000.00,324944317.66,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 11 2048,FIL,0,1994939297.12,1694939297.12,300000000.00,324939297.12,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 10 2048,FIL,0,1994934276.59,1694934276.59,300000000.00,324934276.59,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 10 2048,FIL,0,1994934276.59,1694934276.59,300000000.00,324934276.59,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 09 2048,FIL,0,1994929256.05,1694929256.05,300000000.00,324929256.05,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 08 2048,FIL,0,1994924235.51,1694924235.51,300000000.00,324924235.51,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 07 2048,FIL,0,1994919214.97,1694919214.97,300000000.00,324919214.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 07 2048,FIL,0,1994919214.97,1694919214.97,300000000.00,324919214.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 06 2048,FIL,0,1994914194.43,1694914194.43,300000000.00,324914194.43,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 05 2048,FIL,0,1994909173.89,1694909173.89,300000000.00,324909173.89,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 04 2048,FIL,0,1994904153.35,1694904153.35,300000000.00,324904153.35,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 04 2048,FIL,0,1994904153.35,1694904153.35,300000000.00,324904153.35,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 03 2048,FIL,0,1994899132.82,1694899132.82,300000000.00,324899132.82,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Jan 02 2048,FIL,0,1994894112.28,1694894112.28,300000000.00,324894112.28,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
