Date,Symbol,Price,Available Supply,Unlocked Supply,Liquidity Mining,Founder advisors investor,Initial Liquidity Mining,Options,Ecosystem,Fundraising
May 17 2047,BAL,0,100541528.56,100541528.56,60106528.56,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 16 2047,BAL,0,100541257.14,100541257.14,60106257.14,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 15 2047,BAL,0,100540985.72,100540985.72,60105985.72,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 14 2047,BAL,0,100540714.30,100540714.30,60105714.30,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 13 2047,BAL,0,100540442.88,100540442.88,60105442.88,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 12 2047,BAL,0,100540171.46,100540171.46,60105171.46,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 11 2047,BAL,0,100539900.04,100539900.04,60104900.04,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 10 2047,BAL,0,100539628.62,100539628.62,60104628.62,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 09 2047,BAL,0,100539357.20,100539357.20,60104357.20,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 08 2047,BAL,0,100539085.78,100539085.78,60104085.78,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 07 2047,BAL,0,100538814.36,100538814.36,60103814.36,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 06 2047,BAL,0,100538542.93,100538542.93,60103542.93,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 06 2047,BAL,0,100538542.93,100538542.93,60103542.93,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 05 2047,BAL,0,100538271.51,100538271.51,60103271.51,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 04 2047,BAL,0,100538000.09,100538000.09,60103000.09,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 03 2047,BAL,0,100537728.67,100537728.67,60102728.67,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 02 2047,BAL,0,100537457.25,100537457.25,60102457.25,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
May 01 2047,BAL,0,100537185.83,100537185.83,60102185.83,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 30 2047,BAL,0,100536914.41,100536914.41,60101914.41,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 29 2047,BAL,0,100536642.99,100536642.99,60101642.99,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 28 2047,BAL,0,100536371.57,100536371.57,60101371.57,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 27 2047,BAL,0,100536100.15,100536100.15,60101100.15,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 26 2047,BAL,0,100535828.73,100535828.73,60100828.73,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 26 2047,BAL,0,100535828.73,100535828.73,60100828.73,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 25 2047,BAL,0,100535557.31,100535557.31,60100557.31,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 24 2047,BAL,0,100535285.89,100535285.89,60100285.89,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 23 2047,BAL,0,100535014.46,100535014.46,60100014.46,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Apr 22 2047,BAL,0,100534743.04,100534743.04,60099743.04,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
