Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved
Mar 24 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 24 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 24 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 23 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 23 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 23 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 23 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 22 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 22 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 22 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 21 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 21 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 21 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 20 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 20 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 20 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 19 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 19 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 19 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 18 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 18 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 18 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 18 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 17 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 17 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 17 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 16 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 16 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 16 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 15 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 15 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 15 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 14 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 14 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 14 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Mar 13 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
